scenario,configurator,partition,hypervolume,igdp,runsize,sample
ML_RF_STUDENTS_precision_recall,MO-ParamILS,validate,0.9084940307735515,0.12383167424978671,1,17
ML_RF_STUDENTS_precision_recall,MO-ParamILS,validate,1.016362622011164,0.01284526691274508,1,18
ML_RF_STUDENTS_precision_recall,MO-ParamILS,validate,0.9368577832923467,0.11813384696303243,1,19
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0106112456471332,0.015995759868893594,1,0
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0139321291311287,0.014047078371829917,1,1
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0087704411187315,0.01617256786590079,1,2
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.017653565020963,0.015135889189998138,1,3
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0107121592532904,0.015074528834819594,1,4
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0100143998222575,0.014669025756254797,1,5
ML_RF_STUDENTS_precision_recall,SMAC,validate,0.9634940121614861,0.10508084307047104,1,6
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0215860420644864,0.01481905849890386,1,7
ML_RF_STUDENTS_precision_recall,SMAC,validate,0.9729614654797508,0.06998674977991509,1,8
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.017228508710743,0.013959475238418605,1,9
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0068851695506353,0.01584428995515799,1,10
ML_RF_STUDENTS_precision_recall,SMAC,validate,0.9712607317521949,0.06984690943187695,1,11
ML_RF_STUDENTS_precision_recall,SMAC,validate,0.9928526572596096,0.016951250304301776,1,12
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0087152193495719,0.01752541203959055,1,13
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0169043072918462,0.014806044933762752,1,14
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.017498239925256,0.01612386282478508,1,15
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0073958057151595,0.016212469205172098,1,16
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0172017683283174,0.015108094473273598,1,17
ML_RF_STUDENTS_precision_recall,SMAC,validate,1.0046923119359068,0.016127815849546066,1,18
ML_RF_STUDENTS_precision_recall,SMAC,validate,0.9713288941827775,0.10077237632987353,1,19
ML_RF_STUDENTS_precision_recall,Default,validate,0.9000624393065024,0.1348156875206416,1,0
ML_RF_STUDENTS_precision_recall,Default,validate,0.9180223954318455,0.12309837151505792,1,1
ML_RF_STUDENTS_precision_recall,Default,validate,0.9183950621946014,0.11694957125729377,1,2
ML_RF_STUDENTS_precision_recall,Default,validate,0.9123862263439094,0.12455286030288301,1,3
ML_RF_STUDENTS_precision_recall,Default,validate,0.9104613723476364,0.12571136508042247,1,4
ML_RF_STUDENTS_precision_recall,Default,validate,0.9084709685779716,0.12691189820466445,1,5
ML_RF_STUDENTS_precision_recall,Default,validate,0.9065796136881573,0.13120555198996484,1,6
ML_RF_STUDENTS_precision_recall,Default,validate,0.8853186492862067,0.1330319596489472,1,7
ML_RF_STUDENTS_precision_recall,Default,validate,0.9180689878349904,0.11797502954120687,1,8
ML_RF_STUDENTS_precision_recall,Default,validate,0.9149312307535645,0.12333957929482776,1,9
ML_RF_STUDENTS_precision_recall,Default,validate,0.9150326085734085,0.11723599626907474,1,10
ML_RF_STUDENTS_precision_recall,Default,validate,0.9076951757658196,0.12188337463246773,1,11
ML_RF_STUDENTS_precision_recall,Default,validate,0.8888759744755572,0.13777864351439312,1,12
ML_RF_STUDENTS_precision_recall,Default,validate,0.9103166213589526,0.12676539150988297,1,13
ML_RF_STUDENTS_precision_recall,Default,validate,0.8991025409409025,0.13177728672261638,1,14
ML_RF_STUDENTS_precision_recall,Default,validate,0.9069713158675234,0.12807563953032491,1,15
ML_RF_STUDENTS_precision_recall,Default,validate,0.905156308959516,0.12717519336511263,1,16
ML_RF_STUDENTS_precision_recall,Default,validate,0.9123737274145921,0.12556995255317893,1,17
ML_RF_STUDENTS_precision_recall,Default,validate,0.906504143343503,0.12599997191767076,1,18
ML_RF_STUDENTS_precision_recall,Default,validate,0.915050229519936,0.1212562753752221,1,19
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9702752561510021,0.02617453401055896,1,0
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8260536517961908,0.14223829311710165,1,1
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9234181895255135,0.03395247675401958,1,2
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9260133135655179,0.032474077626444886,1,3
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9270948678904972,0.03159600898739795,1,4
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9422873491002043,0.0294250490236216,1,5
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.927090236285823,0.033086749469424706,1,6
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8909442708569768,0.11425035593622684,1,7
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9196244060465748,0.03501592097927866,1,8
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8156984196338958,0.14147603227323294,1,9
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8344688168004197,0.14132877820125278,1,10
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,1.0043720819422304,0.019096504315932815,1,11
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8023813683418605,0.13705283931783624,1,12
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8431722765719563,0.11733477270926132,1,13
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9166526034882125,0.056348536752290665,1,14
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.9876989559743268,0.02377657289565229,1,15
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8900433491033032,0.0657532052106728,1,16
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8598715291221057,0.11491468087150715,1,17
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8363573126251358,0.14378774243160858,1,18
ML_RF_STUDENTS_precision_recall,Random Search (25),validate,0.8996141572783954,0.03615743160641544,1,19
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.074705788940236,0.004326256983463042,2,0
